0,1,2,3,4
0.476519645,0.244678817,0.248821185,0.438289247,0.084875239
0.616415816,0.299235509,0.29812281,0.573741714,0.147803497
0.701453469,0.353042425,0.347057218,0.671217481,0.210157111
0.749042293,0.406850105,0.395430017,0.739273123,0.271229044
0.773163995,0.459766404,0.443466295,0.785367219,0.33121596
0.783096472,0.511415615,0.491303761,0.815727296,0.389868753
0.78732136,0.56043557,0.538628865,0.835398793,0.446037325
0.788413809,0.607324699,0.584979647,0.847346163,0.499659974
0.788020313,0.650125889,0.630871735,0.854815994,0.549913276
0.786942293,0.687864095,0.675071366,0.859321481,0.595316834
0.785779239,0.717979264,0.716202661,0.862135508,0.634882002
0.785357124,0.741530012,0.753336284,0.864090374,0.668181227
0.784057187,0.758116758,0.785627501,0.86445537,0.695282775
0.783373325,0.770173746,0.812601747,0.864860876,0.71607925
0.783135596,0.77667906,0.834683561,0.865081193,0.731931847
0.782019215,0.780187266,0.851837825,0.865212485,0.74360856
0.781732918,0.780909388,0.865492046,0.864739323,0.751808556
0.781771457,0.780583732,0.876041363,0.864614457,0.75725517
0.781671649,0.779542826,0.883870985,0.864739323,0.761044503
0.78146477,0.777628481,0.889772724,0.864614457,0.763143846
0.781461383,0.775381195,0.894083216,0.864189211,0.764431245
0.781451975,0.773440519,0.897055166,0.86417094,0.764856344
0.781592969,0.771463997,0.899424109,0.864238628,0.764709684
0.781048194,0.769540811,0.901003658,0.864067847,0.764490331
0.781391412,0.767890532,0.902170072,0.864104711,0.763897221
0.780993989,0.76614024,0.902983128,0.863566363,0.763049094
0.781237469,0.764943088,0.903965104,0.864002173,0.762150092
0.781293281,0.763378986,0.904028908,0.863431859,0.761155105
0.781367071,0.76290225,0.904190411,0.86370659,0.760328748
0.781644658,0.76164469,0.904522186,0.863289893,0.75945884
0.781970004,0.761051029,0.904633087,0.863700368,0.75877305
0.781613045,0.760678888,0.904587009,0.863775586,0.757673192
0.781676204,0.759850019,0.904699548,0.863300823,0.757113535
0.781405561,0.759732787,0.904518273,0.863757294,0.756273423
0.781447196,0.759219535,0.904386744,0.863309985,0.755756749
